,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
f8b59c41-f712-4945-ae36-1d0827e6c6a2,30372,-905,-199,-292,-9500,-46400,-42000,12,406,265,971.54,107.49,-167.6
9880f30d-04db-4398-8316-450a5419608a,30391,-1042,-247,-290,-11300,-44700,-44000,44,435,233,1109.45,105.15,-166.66
a54c4509-4a41-4043-9634-49b444c0f698,30409,-1004,-297,-216,-42400,-24900,-30900,51,450,215,1069.06,101.66,-163.52
0da3f43e-d279-453d-8dc8-fed11079d328,30428,-956,-276,-154,-60200,-32700,-18700,29,469,197,1006.89,98.8,-163.9
b98af9d1-1276-41ec-b2b2-843dc4d8013c,30453,-904,163,345,-123200,-177600,42100,-112,550,49,981.23,69.41,169.78
73634cdf-76d4-41f7-a2d6-091a23aadbe3,30472,-687,241,806,2000,-231400,63700,-238,474,-281,1086.13,42.09,160.67
71864bb8-9c29-4bd5-85b9-8d069409fc7a,30491,-239,-117,759,-27300,-200200,17700,-243,273,-456,804.3,19.32,-153.92
30aeaa85-9b7a-4cdc-9dc5-b35d235dc291,30509,65,-119,1080,-47500,-25200,-16500,-207,193,-503,1088.48,7.16,-61.36
5d806448-a978-469b-907c-b56712f14188,30528,86,-185,1003,-26500,-22400,-14300,-127,150,-539,1023.54,11.5,-65.07
ce25d901-497a-48f7-8cc4-0356c7724ae6,30547,166,-285,1014,-6300,7200,-15700,-112,133,-546,1066.29,18.02,-59.78
4ced550c-e39e-419c-a9f5-c7bb46115b41,30566,197,-251,958,-17200,-16500,3000,-78,109,-552,1009.74,18.42,-51.87
40a9ccc2-3fe1-4485-9185-02f2b111e028,30591,54,-261,957,32900,68300,-41000,-105,157,-539,993.42,15.56,-78.31
191d3ad6-1295-4104-b6bb-93c9ad9d70c2,30609,190,-266,915,-14200,-38000,31900,-69,135,-558,971.64,19.66,-54.46
abb45013-ea6c-4676-9023-3f951fca8ec8,30628,143,-103,1116,66700,78000,11000,-124,159,-530,1129.83,8.97,-35.76
617b6c58-82cc-4fda-a9dd-b0bc87f0042c,30647,44,-51,1041,35700,11100,7300,-157,186,-521,1043.18,3.7,-49.21
af571051-862c-465e-8aa3-ddcbcb2edbf2,30666,83,-56,1045,-4900,-4900,20800,-172,178,-512,1049.79,5.48,-34.01
f8682b32-9387-451b-a1ed-639331e50489,30684,111,-124,1001,300,1300,13600,-169,171,-521,1014.74,9.44,-48.17
17570bd5-5810-4e67-bb28-7009fb25baf7,30703,-11,-56,1040,-59000,2800,-16100,-151,187,-518,1041.56,3.14,-101.11
456dd09e-9c69-4ace-a0bb-e90a8a410703,30722,-10,-73,1153,-19200,33700,43900,-133,183,-525,1155.35,3.66,-97.8
04a3712f-60e2-43bd-b807-9c5719d4ae9c,30741,23,-298,995,-48900,-19400,66000,-115,147,-549,1038.92,16.72,-85.59
